"variable","index","virus","period","coprimary","hh_size","type","inc_mean","inc_sd","x_A","mean_value","upper_value","lower_value"
"alpha",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.41","0.21","0.83"
"alpha",33,"cov","All Omicron",TRUE,"1p","All",2.6,1,0.35,"0.42","0.29","0.58"
"presymp",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.31","0.24","0.38"
"presymp",33,"cov","All Omicron",TRUE,"1p","All",2.6,1,0.35,"0.37","0.31","0.43"
"p_E",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.24","0.03","0.55"
"p_E",33,"cov","All Omicron",TRUE,"1p","All",2.6,1,0.35,"0.07","0.01","0.17"
"period_E",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"0.64","0.08","1.42"
"period_E",33,"cov","All Omicron",TRUE,"1p","All",2.6,1,0.35,"0.17","0.03","0.44"
"period_P",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.96","1.18","2.52"
"period_P",33,"cov","All Omicron",TRUE,"1p","All",2.6,1,0.35,"2.43","2.16","2.57"
"mu_inv",20,"cov","All Omicron",FALSE,"1p","All",2.6,1,0.35,"1.68","1.44","1.94"
"mu_inv",33,"cov","All Omicron",TRUE,"1p","All",2.6,1,0.35,"1.74","1.48","2.01"
